frame_num,class_id,confidence,left,top,right,bottom,center_x,center_y,timestamp
437,0,0.288,806,0,817,19,811,9,1748893266.4755144
438,0,0.501,805,0,816,19,811,9,1748893266.5089922
439,0,0.407,806,0,816,18,811,9,1748893266.5429006
442,0,0.363,806,0,817,19,812,9,1748893266.6430607
443,0,0.279,806,0,817,19,811,9,1748893266.6798704
446,0,0.377,805,0,816,18,811,9,1748893266.7757416
447,0,0.295,806,0,816,19,811,9,1748893266.8135047
448,0,0.402,806,0,817,19,811,9,1748893266.8445544
449,0,0.252,806,0,816,18,811,9,1748893266.8757744
450,0,0.278,806,0,817,18,811,9,1748893266.9100196
451,0,0.353,806,0,816,19,811,9,1748893266.9423287
452,0,0.296,806,0,817,19,811,9,1748893266.9761157
454,0,0.319,806,0,816,18,811,9,1748893267.0422704
455,0,0.433,805,0,816,19,810,9,1748893267.0755522
456,0,0.335,806,0,816,19,811,9,1748893267.1087995
457,0,0.535,806,0,816,19,811,9,1748893267.142608
459,0,0.393,805,0,816,19,810,9,1748893267.2089038
461,0,0.4,806,0,816,18,811,9,1748893267.2760236
462,0,0.287,806,0,816,19,811,9,1748893267.3121629
463,0,0.356,806,0,816,18,811,9,1748893267.345028
464,0,0.319,806,0,816,18,811,9,1748893267.3766136
466,0,0.398,806,0,816,18,811,9,1748893267.4421415
467,0,0.424,806,0,816,19,811,9,1748893267.4764125
468,0,0.314,806,0,817,19,811,9,1748893267.514149
471,0,0.264,806,0,816,19,811,9,1748893267.608306
472,0,0.373,805,0,816,19,811,9,1748893267.6424732
473,0,0.25,806,0,816,18,811,9,1748893267.6753235
474,0,0.282,806,0,816,19,811,9,1748893267.7088523
476,0,0.421,806,0,816,19,811,9,1748893267.775079
478,0,0.469,805,0,816,19,810,9,1748893267.8419282
479,0,0.384,806,0,816,19,811,9,1748893267.878977
482,0,0.315,806,0,816,19,811,9,1748893267.9747899
483,0,0.262,806,0,816,19,811,9,1748893268.0119364
484,0,0.348,806,0,816,19,811,9,1748893268.0434701
486,0,0.378,806,0,816,19,811,9,1748893268.108427
489,0,0.346,806,0,815,18,810,9,1748893268.2083313
492,0,0.257,806,0,817,20,811,10,1748893268.3083558
494,0,0.325,806,0,816,19,811,9,1748893268.376591
495,0,0.398,806,0,816,19,811,9,1748893268.4083197
499,0,0.404,806,0,817,19,811,9,1748893268.5417438
500,0,0.301,806,0,816,19,811,9,1748893268.5780957
502,0,0.304,806,0,816,19,811,9,1748893268.6414843
503,0,0.39,806,0,816,19,811,9,1748893268.675415
506,0,0.338,806,0,816,18,811,9,1748893268.774657
509,0,0.324,806,0,816,18,811,9,1748893268.8746853
510,0,0.421,805,0,816,19,811,9,1748893268.9087777
511,0,0.39,806,0,816,19,811,9,1748893268.9438107
512,0,0.291,806,0,817,19,811,9,1748893268.9746363
513,0,0.503,805,0,816,19,811,9,1748893269.0088603
514,0,0.383,806,0,816,19,811,9,1748893269.0416484
515,0,0.399,806,0,816,18,811,9,1748893269.0749822
518,0,0.369,806,0,816,19,811,9,1748893269.1749468
521,0,0.337,806,0,816,19,811,9,1748893269.274408
523,0,0.283,806,0,816,18,811,9,1748893269.3412828
525,0,0.476,805,0,817,20,811,10,1748893269.4089062
527,0,0.274,806,0,816,19,811,9,1748893269.474737
529,0,0.475,805,0,816,19,810,9,1748893269.5414395
530,0,0.271,806,0,816,19,811,9,1748893269.5796607
531,0,0.451,805,0,815,19,810,9,1748893269.611816
532,0,0.327,806,0,816,19,811,9,1748893269.6425297
534,0,0.269,805,0,816,19,810,9,1748893269.7081866
535,0,0.289,806,0,816,19,811,9,1748893269.7444804
536,0,0.327,806,0,816,18,811,9,1748893269.7757776
538,0,0.338,806,0,816,19,811,9,1748893269.8413322
540,0,0.447,805,0,816,19,811,9,1748893269.9079983
541,0,0.335,806,0,815,18,811,9,1748893269.9426308
542,0,0.455,805,0,815,19,810,9,1748893269.9766479
543,0,0.307,806,0,816,19,811,9,1748893270.00801
545,0,0.36,805,0,815,18,810,9,1748893270.074319
546,0,0.545,806,0,816,19,811,9,1748893270.1110935
547,0,0.314,806,0,816,18,811,9,1748893270.141716
548,0,0.366,806,0,817,19,811,9,1748893270.174888
549,0,0.294,805,0,816,19,811,9,1748893270.2078857
550,0,0.406,806,0,816,19,811,9,1748893270.2411447
551,0,0.487,805,0,817,20,811,10,1748893270.2742796
552,0,0.482,805,0,816,19,811,9,1748893270.3079596
553,0,0.25,806,0,816,18,811,9,1748893270.3409157
555,0,0.322,805,0,815,19,810,9,1748893270.4079888
560,0,0.314,804,0,815,19,809,9,1748893270.574043
561,0,0.48,804,0,816,20,810,10,1748893270.6116521
562,0,0.293,805,0,816,19,810,9,1748893270.640851
563,0,0.467,805,0,815,19,810,9,1748893270.6746786
565,0,0.342,806,0,816,19,811,9,1748893270.740888
567,0,0.4,806,0,815,19,810,9,1748893270.8106265
568,0,0.288,805,0,815,19,810,9,1748893270.8421168
569,0,0.26,804,0,815,20,810,10,1748893270.8746305
574,0,0.303,805,0,816,20,811,10,1748893271.0408828
577,0,0.393,805,0,815,19,810,9,1748893271.1407216
578,0,0.434,805,0,815,19,810,9,1748893271.1748967
579,0,0.288,806,0,816,19,811,9,1748893271.2079728
583,0,0.39,806,0,816,19,811,9,1748893271.340598
585,0,0.339,806,0,816,20,811,10,1748893271.4073844
601,0,0.339,804,0,813,18,808,9,1748893271.9405332
603,0,0.356,803,0,813,18,808,9,1748893272.0076613
620,0,0.365,803,0,812,18,807,9,1748893272.577072
622,0,0.27,803,0,812,18,807,9,1748893272.6404383
623,0,0.291,803,0,812,18,808,9,1748893272.6776168
630,0,0.291,804,0,813,18,808,9,1748893272.9070015
645,0,0.269,803,0,812,18,808,9,1748893273.4067178
647,0,0.397,803,0,813,18,808,9,1748893273.4737868
659,0,0.252,803,0,812,18,808,9,1748893273.8732526
661,0,0.328,803,0,813,19,808,9,1748893273.9400065
662,0,0.435,803,0,812,18,808,9,1748893273.9775312
669,0,0.287,803,0,812,18,807,9,1748893274.206335
671,0,0.276,803,0,812,18,808,9,1748893274.2730703
